id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,income,political,floor_area,height_cm,weight_jin,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_yr,work_type,work_manage,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability,age,economic
1,4,1,12,32,59,2015,1,1959,1,1,1,11,20000,1,45.0,176,155,3,2,5,5,2,4,3,3,3,1,3.0,30.0,1.0,2.0,60000.0,2,2,1,2,3,3,2,4,3,56,-0.03558565888071442
2,4,2,18,52,85,2015,1,1992,1,1,1,12,20000,1,110.0,170,110,5,4,3,1,2,4,3,3,6,1,3.0,2.0,1.0,3.0,40000.0,3,4,1,2,1,1,1,4,2,23,-0.10210626817235742
3,4,2,29,83,126,2015,2,1967,1,0,3,4,2000,1,120.0,160,122,4,4,5,1,3,4,2,4,5,2,,,,,8000.0,3,3,1,2,3,2,1,4,2,48,-0.22175990231510048
4,5,2,10,28,51,2015,2,1943,1,1,1,3,6420,1,78.0,163,170,4,4,4,1,2,4,4,4,5,4,,,,,12000.0,3,3,1,1,7,2,1,3,2,72,-0.2052093741240253
5,4,1,7,18,36,2015,2,1994,1,1,1,12,-1,2,70.0,165,110,5,5,3,2,4,3,4,2,1,6,,,,,-2.0,4,3,1,1,1,3,2,3,-8,21,-0.2498444947158699
6,5,2,18,52,86,2015,1,1946,1,1,1,2,5000,1,300.0,172,140,5,5,4,1,3,3,2,4,8,4,,,,,5000.0,2,3,1,2,3,3,1,4,3,69,-0.22953455049712754
7,4,1,10,27,49,2015,1,1963,1,1,1,4,-3,4,89.0,160,120,2,2,2,2,1,3,1,4,2,1,3.0,30.0,1.0,3.0,-3.0,3,2,1,2,3,3,2,4,3,52,-0.2498492897094426
8,4,1,11,31,54,2015,1,1959,1,0,8,4,-1,1,130.0,176,140,3,5,5,2,3,3,3,4,2,5,,,,,-1.0,2,3,1,2,3,2,2,4,-8,56,-0.2498411686854052
9,4,2,28,81,122,2015,1,1952,1,1,1,3,1600,1,36.0,175,95,2,2,2,1,2,2,1,4,3,2,,,,,1600.0,1,2,1,2,1,3,2,3,3,63,-0.24334028971827898
10,4,2,24,70,110,2015,1,1985,1,1,1,3,60000,1,80.0,172,140,4,5,4,1,3,3,2,4,5,5,,,,,60000.0,5,3,1,1,3,2,2,3,2,30,-0.006206416052961272
11,4,1,6,15,31,2015,2,1988,1,1,1,6,24000,1,200.0,165,100,4,4,5,1,3,3,1,4,4,5,,,,,60000.0,5,3,1,2,3,2,2,4,2,27,-0.03264773459707169
12,4,2,23,69,109,2015,1,1968,1,0,3,1,8000,1,199.0,173,120,4,2,2,1,4,4,1,2,6,4,,,,,16500.0,3,3,3,2,3,3,1,4,2,47,-0.1890817569413128
13,4,1,21,64,100,2015,1,1964,1,1,3,10,36000,4,80.0,171,120,4,5,4,2,2,3,3,3,4,1,3.0,35.0,1.0,3.0,36000.0,2,2,1,2,3,2,1,5,2,51,-0.10365869290229142
14,2,1,4,7,14,2015,2,1939,1,1,1,3,40000,1,56.0,156,115,1,1,1,5,1,2,1,3,1,5,,,,,90000.0,2,3,1,2,3,2,3,3,2,76,0.07888487647400634
15,4,2,15,41,72,2015,2,1935,1,0,4,1,1000,1,40.0,136,65,1,-8,-8,1,3,1,1,5,2,4,,,,,30000.0,4,3,1,2,3,3,2,3,2,80,-0.14932171316283785
16,4,2,29,82,124,2015,1,1983,1,1,1,4,45000,1,120.0,185,185,4,5,3,1,3,4,1,4,6,1,3.0,8.0,1.0,3.0,50000.0,5,3,1,2,3,2,1,5,2,32,-0.05048393675979473
